model,sample,bitrate_kbps,payload_kb,elapsed_s,wer,error
google/gemini-2.0-flash-lite-001,1,16,42.6,2.932,0.057971014492753624,
google/gemini-2.0-flash-lite-001,1,24,63.8,2.125,0.057971014492753624,
google/gemini-2.0-flash-lite-001,1,32,85.0,2.111,0.028985507246376812,
google/gemini-2.0-flash-lite-001,1,48,127.4,1.955,0.057971014492753624,
google/gemini-2.0-flash-lite-001,1,64,169.9,1.976,0.028985507246376812,
google/gemini-2.0-flash-lite-001,2,16,42.3,2.784,0.014285714285714285,
google/gemini-2.0-flash-lite-001,2,24,63.4,1.775,0.0,
google/gemini-2.0-flash-lite-001,2,32,84.5,1.967,0.0,
google/gemini-2.0-flash-lite-001,2,48,126.6,2.73,0.0,
google/gemini-2.0-flash-lite-001,2,64,168.8,2.164,0.0,
google/gemini-2.0-flash-lite-001,3,16,49.2,1.995,0.06666666666666667,
google/gemini-2.0-flash-lite-001,3,24,73.7,2.183,0.013333333333333334,
google/gemini-2.0-flash-lite-001,3,32,98.2,1.934,0.06666666666666667,
google/gemini-2.0-flash-lite-001,3,48,147.3,2.269,0.02666666666666667,
google/gemini-2.0-flash-lite-001,3,64,196.4,2.25,0.05333333333333334,
google/gemini-2.0-flash-lite-001,4,16,44.9,1.93,0.04225352112676056,
google/gemini-2.0-flash-lite-001,4,24,67.2,1.84,0.028169014084507043,
google/gemini-2.0-flash-lite-001,4,32,89.5,7.116,0.028169014084507043,
google/gemini-2.0-flash-lite-001,4,48,134.2,1.857,0.056338028169014086,
google/gemini-2.0-flash-lite-001,4,64,178.9,1.999,0.04225352112676056,
google/gemini-2.0-flash-001,1,16,42.6,2.572,0.014492753623188406,
google/gemini-2.0-flash-001,1,24,63.8,1.878,0.014492753623188406,
google/gemini-2.0-flash-001,1,32,85.0,1.848,0.014492753623188406,
google/gemini-2.0-flash-001,1,48,127.4,2.324,0.0,
google/gemini-2.0-flash-001,1,64,169.9,1.962,0.043478260869565216,
google/gemini-2.0-flash-001,2,16,42.3,1.984,0.0,
google/gemini-2.0-flash-001,2,24,63.4,1.815,0.0,
google/gemini-2.0-flash-001,2,32,84.5,2.453,0.014285714285714285,
google/gemini-2.0-flash-001,2,48,126.6,2.358,0.0,
google/gemini-2.0-flash-001,2,64,168.8,2.048,0.0,
google/gemini-2.0-flash-001,3,16,49.2,2.027,0.02666666666666667,
google/gemini-2.0-flash-001,3,24,73.7,1.866,0.08,
google/gemini-2.0-flash-001,3,32,98.2,2.075,0.013333333333333334,
google/gemini-2.0-flash-001,3,48,147.3,2.138,0.04,
google/gemini-2.0-flash-001,3,64,196.4,2.143,0.04,
google/gemini-2.0-flash-001,4,16,44.9,1.642,0.028169014084507043,
google/gemini-2.0-flash-001,4,24,67.2,1.799,0.04225352112676056,
google/gemini-2.0-flash-001,4,32,89.5,1.836,0.056338028169014086,
google/gemini-2.0-flash-001,4,48,134.2,1.923,0.028169014084507043,
google/gemini-2.0-flash-001,4,64,178.9,1.963,0.028169014084507043,
google/gemini-2.5-flash-lite,1,16,42.6,1.56,0.0,
google/gemini-2.5-flash-lite,1,24,63.8,1.735,0.043478260869565216,
google/gemini-2.5-flash-lite,1,32,85.0,1.667,0.028985507246376812,
google/gemini-2.5-flash-lite,1,48,127.4,1.734,0.07246376811594203,
google/gemini-2.5-flash-lite,1,64,169.9,3.727,0.057971014492753624,
google/gemini-2.5-flash-lite,2,16,42.3,1.475,0.0,
google/gemini-2.5-flash-lite,2,24,63.4,1.904,0.0,
google/gemini-2.5-flash-lite,2,32,84.5,1.607,0.0,
google/gemini-2.5-flash-lite,2,48,126.6,1.764,0.0,
google/gemini-2.5-flash-lite,2,64,168.8,1.81,0.0,
google/gemini-2.5-flash-lite,3,16,49.2,1.513,0.04,
google/gemini-2.5-flash-lite,3,24,73.7,1.847,0.04,
google/gemini-2.5-flash-lite,3,32,98.2,1.956,0.05333333333333334,
google/gemini-2.5-flash-lite,3,48,147.3,2.085,0.0,
google/gemini-2.5-flash-lite,3,64,196.4,2.224,0.08,
google/gemini-2.5-flash-lite,4,16,44.9,1.456,0.028169014084507043,
google/gemini-2.5-flash-lite,4,24,67.2,2.776,0.028169014084507043,
google/gemini-2.5-flash-lite,4,32,89.5,1.628,0.028169014084507043,
google/gemini-2.5-flash-lite,4,48,134.2,1.768,0.028169014084507043,
google/gemini-2.5-flash-lite,4,64,178.9,1.888,0.014084507042253521,
google/gemini-3.1-flash-lite-preview,1,16,42.6,13.734,0.0,
google/gemini-3.1-flash-lite-preview,1,24,63.8,13.383,0.014492753623188406,
google/gemini-3.1-flash-lite-preview,1,32,85.0,1.982,0.014492753623188406,
google/gemini-3.1-flash-lite-preview,1,48,127.4,1.758,0.014492753623188406,
google/gemini-3.1-flash-lite-preview,1,64,169.9,1.625,0.028985507246376812,
google/gemini-3.1-flash-lite-preview,2,16,42.3,2.502,0.014285714285714285,
google/gemini-3.1-flash-lite-preview,2,24,63.4,13.046,0.0,
google/gemini-3.1-flash-lite-preview,2,32,84.5,2.91,0.014285714285714285,
google/gemini-3.1-flash-lite-preview,2,48,126.6,1.934,0.0,
google/gemini-3.1-flash-lite-preview,2,64,168.8,2.479,0.02857142857142857,
google/gemini-3.1-flash-lite-preview,3,16,49.2,1.89,0.02666666666666667,
google/gemini-3.1-flash-lite-preview,3,24,73.7,2.836,0.02666666666666667,
google/gemini-3.1-flash-lite-preview,3,32,98.2,7.679,0.04,
google/gemini-3.1-flash-lite-preview,3,48,147.3,2.368,0.0,
google/gemini-3.1-flash-lite-preview,3,64,196.4,13.447,0.04,
google/gemini-3.1-flash-lite-preview,4,16,44.9,13.746,0.04225352112676056,
